respondent_id,pre_college_sport_1,pre_college_sport_1_level,pre_college_sport_1_skill,pre_college_sport_2,pre_college_sport_2_level,pre_college_sport_2_skill,pre_college_sport_3,pre_college_sport_3_level,pre_college_sport_3_skill,pre_college_other_sports,im_badminton_experience,im_badminton_skill,im_basketball_experience,im_basketball_skill,im_billiards_experience,im_billiards_skill,im_broomball_experience,im_broomball_skill,im_climbing_experience,im_climbing_skill,im_dodgeball_experience,im_dodgeball_skill,im_flag_football_experience,im_flag_football_skill,im_foosball_experience,im_foosball_skill,im_inner_tube_water_polo_experience,im_inner_tube_water_polo_skill,im_pickleball_experience,im_pickleball_skill,im_ping_pong_experience,im_ping_pong_skill,im_river_run_experience,im_river_run_skill,im_soccer_experience,im_soccer_skill,im_softball_experience,im_softball_skill,im_spikeball_experience,im_spikeball_skill,im_squash_experience,im_squash_skill,im_tennis_experience,im_tennis_skill,im_ultimate_frisbee_experience,im_ultimate_frisbee_skill,im_volleyball_experience,im_volleyball_skill,is_varsity,varsity_sport
197,Baseball,Casual,2,,,,,,,,1 season,5,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,1 season,5,Never played,,1 season,6,Never played,,Never played,,no,
198,,,,,,,,,,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,6,Never played,,1 season,3,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,7,no,
199,Crew,HS Varsity,7,,,,,,,,Never played,,1 season,4,Never played,,1 season,7,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,5,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,no,
200,Volleyball,HS Varsity,9,Basketball,HS Varsity,5,,,,,Never played,,Never played,,Never played,,1 season,9,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,2+ seasons,8,yes,Volleyball
201,Tennis,HS JV,6,Swimming,HS Varsity,9,,,,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,Never played,,Never played,,Never played,,no,
202,Soccer,HS Varsity,6,,,,,,,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,2+ seasons,7,Never played,,Never played,,2+ seasons,9,Never played,,Never played,,Never played,,no,
203,Football (American),HS JV,7,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,no,
204,Track & Field,HS Varsity,8,Basketball,HS Varsity,5,,,,,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Track & Field
205,Baseball,HS JV,7,Tennis,HS Varsity,7,,,,,Never played,,2+ seasons,7,Never played,,Never played,,2+ seasons,7,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,no,
206,Football (American),HS Varsity,9,,,,,,,,Never played,,1 season,5,Never played,,1 season,5,Never played,,2+ seasons,9,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,yes,Football
207,Soccer,HS Varsity,5,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,6,Never played,,Never played,,1 season,5,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,no,
208,Basketball,HS Varsity,8,Football (American),Casual,6,,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,6,Never played,,Never played,,Never played,,no,
209,,,,,,,,,,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,7,Never played,,1 season,5,Never played,,Never played,,1 season,6,Never played,,no,
210,,,,,,,,,,,1 season,4,Never played,,Never played,,Never played,,Never played,,1 season,2,1 season,5,1 season,5,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
211,Track & Field,HS JV,4,,,,,,,,1 season,5,Never played,,Never played,,Never played,,2+ seasons,10,Never played,,Never played,,1 season,3,Never played,,2+ seasons,5,Never played,,1 season,3,Never played,,1 season,5,Never played,,2+ seasons,9,Never played,,1 season,7,1 season,7,no,
212,Tennis,HS Varsity,8,Crew,Casual,5,Basketball,HS Varsity,10,,1 season,4,1 season,5,1 season,5,1 season,7,Never played,,1 season,5,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
213,,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,1 season,3,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,7,1 season,6,Never played,,1 season,7,1 season,6,1 season,5,no,
214,Cross Country,HS Varsity,9,Lacrosse,Casual,4,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,4,Never played,,2+ seasons,7,no,
215,Basketball,Casual,6,,,,,,,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,2+ seasons,10,no,
216,Soccer,Casual,3,Baseball,Casual,3,,,,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,5,Never played,,1 season,2,Never played,,1 season,5,1 season,7,no,
217,Football (American),Casual,5,Crew,Casual,2,Basketball,Casual,5,  Rowing; cycling,Never played,,Never played,,Never played,,1 season,6,1 season,6,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,4,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,no,
218,Swimming,HS Varsity,5,,,,,,,,1 season,6,1 season,6,Never played,,Never played,,2+ seasons,7,2+ seasons,7,Never played,,2+ seasons,6,Never played,,2+ seasons,9,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,no,
219,Soccer,HS Varsity,9,Track & Field,HS Varsity,7,Lacrosse,Casual,6,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,3,Never played,,1 season,6,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
220,Swimming,Casual,3,Tennis,HS Varsity,7,,,,,Never played,,1 season,5,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
221,,,,,,,,,,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
222,Cross Country,Casual,1,Track & Field,HS Varsity,5,Lacrosse,Casual,4,polo,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,1 season,5,1 season,5,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,no,
223,,,,,,,,,,,1 season,4,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,no,
224,Tennis,Casual,5,Swimming,Casual,6,,,,,Never played,,Never played,,Never played,,1 season,7,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,4,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
225,Wrestling,Casual,4,Ping Pong,Casual,6,,,,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,1 season,6,Never played,,1 season,3,1 season,7,Never played,,Never played,,1 season,4,1 season,8,2+ seasons,6,no,
226,Softball,Casual,2,Basketball,Casual,3,,,,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,1 season,5,Never played,,Never played,,2+ seasons,7,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
227,Swimming,HS Varsity,9,Field Hockey,HS Varsity,9,,,,,2+ seasons,5,1 season,5,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,6,2+ seasons,9,2+ seasons,8,2+ seasons,4,Never played,,1 season,4,Never played,,Never played,,no,
228,Ice Hockey,HS JV,2,Basketball,Casual,2,Baseball,HS JV,3,,Never played,,Never played,,1 season,4,1 season,3,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,5,no,
229,Crew,Casual,5,Swimming,Casual,4,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,1 season,5,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
230,Basketball,HS Varsity,9,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,3,2+ seasons,6,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,yes,Basketball
231,Baseball,Casual,5,Swimming,HS Varsity,8,,,,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
232,Tennis,Casual,5,,,,,,,,Never played,,1 season,6,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
233,Track & Field,HS JV,5,Baseball,Casual,6,,,,,1 season,5,2+ seasons,5,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,no,
234,Soccer,HS Varsity,7,,,,,,,,Never played,,1 season,5,Never played,,2+ seasons,7,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,9,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,no,
235,,,,,,,,,,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,5,Never played,,1 season,6,Never played,,Never played,,2+ seasons,8,2+ seasons,7,1 season,5,2+ seasons,5,no,
236,Track & Field,HS Varsity,6,Tennis,Casual,2,Squash,Casual,1,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,2+ seasons,8,Never played,,1 season,5,1 season,7,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,Never played,,yes,Track & Field
237,Soccer,Casual,7,Track & Field,HS JV,4,,,,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,6,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,1,Never played,,no,
238,Crew,HS JV,5,,,,,,,,2+ seasons,6,2+ seasons,9,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
239,Squash,HS Varsity,8,Soccer,HS Varsity,10,Lacrosse,HS JV,4,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,7,no,
240,Cheerleading/Dance,HS Varsity,4,Basketball,Casual,6,,,,,Never played,,Never played,,Never played,,1 season,6,1 season,6,Never played,,2+ seasons,6,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,1 season,3,Never played,,1 season,7,no,
241,Baseball,HS Varsity,7,,,,,,,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Baseball
242,Water Polo,HS Varsity,6,Crew,HS Varsity,9,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,yes,Water Polo
243,,,,,,,,,,,Never played,,1 season,5,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,5,1 season,2,Never played,,no,
244,Basketball,Casual,4,,,,,,,,1 season,6,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,no,
245,Track & Field,HS Varsity,10,,,,,,,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Track & Field
246,Field Hockey,HS Varsity,5,Track & Field,Casual,2,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,3,1 season,4,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,no,
247,Football (American),HS JV,6,Tennis,Casual,7,,,,,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
248,,,,,,,,,,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,6,Never played,,1 season,7,Never played,,Never played,,Never played,,no,
249,Track & Field,HS Varsity,10,,,,,,,,1 season,4,Never played,,Never played,,2+ seasons,10,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,2,Never played,,Never played,,1 season,7,Never played,,no,
250,Tennis,HS Varsity,8,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,3,1 season,5,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,2+ seasons,5,1 season,4,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,yes,Tennis
251,Track & Field,Casual,5,Lacrosse,Casual,5,,,,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,1 season,4,no,
252,Swimming,Casual,7,,,,,,,,Never played,,Never played,,Never played,,Never played,,2+ seasons,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,6,1 season,4,1 season,4,no,
253,Tennis,HS Varsity,8,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,1 season,8,1 season,3,Never played,,Never played,,1 season,7,Never played,,1 season,4,Never played,,Never played,,Never played,,no,
254,Tennis,Casual,4,Track & Field,Casual,5,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
255,Football (American),HS Varsity,9,,,,,,,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,yes,Football
256,Soccer,HS Varsity,8,Basketball,HS Varsity,7,,,,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
257,Football (American),Casual,5,,,,,,,,2+ seasons,6,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,1 season,4,Never played,,2+ seasons,7,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,no,
258,,,,,,,,,,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,1 season,6,1 season,6,Never played,,1 season,3,1 season,7,no,
259,Track & Field,Casual,7,Badminton,HS Varsity,9,,,,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,2+ seasons,8,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
260,Swimming,HS Varsity,9,,,,,,,,Never played,,2+ seasons,10,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,4,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
261,Swimming,Casual,4,Field Hockey,Casual,3,,,,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,1 season,6,1 season,5,Never played,,1 season,8,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,no,
262,Track & Field,Casual,5,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,10,1 season,7,Never played,,no,
263,Swimming,Casual,6,Football (American),HS Varsity,7,,,,,1 season,6,Never played,,1 season,5,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
264,,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,9,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,2+ seasons,6,no,
265,Track & Field,HS Varsity,6,Tennis,Casual,5,,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,Never played,,1 season,3,Never played,,1 season,6,Never played,,Never played,,2+ seasons,7,yes,Track & Field
266,Tennis,HS Varsity,9,,,,,,,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,no,
267,Squash,HS Varsity,7,Lacrosse,Casual,3,Crew,HS Varsity,8,,2+ seasons,4,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,1 season,5,2+ seasons,6,Never played,,1 season,5,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,1 season,4,1 season,4,Never played,,no,
268,Field Hockey,Casual,2,Lacrosse,HS Varsity,10,,,,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
269,Football (American),HS Varsity,10,Swimming,Casual,6,,,,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,1 season,7,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,2+ seasons,10,no,
270,Water Polo,HS Varsity,9,Wrestling,Casual,4,Football (American),HS Varsity,5,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,6,1 season,5,yes,Water Polo
271,Swimming,Casual,1,Basketball,HS Varsity,8,,,,,Never played,,Never played,,Never played,,1 season,7,1 season,7,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
272,Swimming,Casual,4,,,,,,,,2+ seasons,4,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,2+ seasons,5,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,no,
273,,,,,,,,,,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,5,1 season,5,1 season,5,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,no,
274,Soccer,Casual,4,Basketball,Casual,3,,,,,2+ seasons,9,Never played,,Never played,,Never played,,1 season,9,1 season,5,Never played,,Never played,,Never played,,1 season,7,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,no,
275,Track & Field,HS Varsity,6,Basketball,HS JV,6,,,,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,1 season,2,Never played,,Never played,,no,
276,Tennis,Casual,7,Soccer,HS Varsity,8,,,,,1 season,4,Never played,,Never played,,2+ seasons,8,1 season,9,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,4,no,
277,Tennis,HS JV,3,Basketball,HS Varsity,7,Soccer,HS JV,3,,Never played,,1 season,4,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,no,
278,Ice Hockey,HS Varsity,6,,,,,,,,Never played,,1 season,5,1 season,5,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,2+ seasons,4,1 season,5,yes,Ice Hockey
279,Wrestling,HS Varsity,8,,,,,,,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,1 season,7,1 season,5,no,
280,Crew,Casual,6,Track & Field,Casual,4,Tennis,HS Varsity,8,,Never played,,Never played,,Never played,,1 season,5,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,1 season,4,Never played,,no,
281,Football (American),HS Varsity,7,,,,,,,,Never played,,Never played,,1 season,6,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,3,Never played,,1 season,7,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,1 season,4,yes,Football
282,Soccer,Casual,4,Swimming,HS JV,6,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
283,Track & Field,HS Varsity,9,,,,,,,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Track & Field
284,Swimming,Casual,6,,,,,,,,Never played,,1 season,7,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,1 season,6,Never played,,Never played,,1 season,4,no,
285,Tennis,HS Varsity,7,,,,,,,,Never played,,Never played,,Never played,,1 season,5,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,1 season,6,2+ seasons,8,Never played,,2+ seasons,10,Never played,,1 season,7,no,
286,Swimming,Casual,2,Cross Country,Casual,5,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,6,no,
287,Field Hockey,HS Varsity,8,Cross Country,HS JV,6,Rugby,Casual,7,fencing ,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Field Hockey
288,Softball,Casual,2,Tennis,Casual,5,,,,,Never played,,Never played,,Never played,,1 season,6,1 season,7,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,no,
289,Crew,HS Varsity,10,,,,,,,,1 season,5,Never played,,1 season,5,Never played,,1 season,9,Never played,,1 season,3,1 season,5,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Men's Rowing
290,,,,,,,,,,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,3,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,1 season,9,Never played,,no,
291,Track & Field,HS Varsity,8,,,,,,,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,7,1 season,6,2+ seasons,4,1 season,6,Never played,,1 season,6,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,yes,Track & Field
292,Basketball,HS Varsity,7,,,,,,,,Never played,,Never played,,2+ seasons,5,Never played,,1 season,4,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,5,Never played,,Never played,,1 season,6,Never played,,yes,Basketball
293,,,,,,,,,,,Never played,,1 season,3,1 season,7,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
294,Basketball,Casual,3,Track & Field,Casual,7,,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
295,Swimming,Casual,4,,,,,,,,Never played,,Never played,,Never played,,2+ seasons,10,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
296,Crew,HS Varsity,8,Track & Field,Casual,4,,,,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,5,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Men's Rowing
