respondent_id,pre_college_sport_1,pre_college_sport_1_level,pre_college_sport_1_skill,pre_college_sport_2,pre_college_sport_2_level,pre_college_sport_2_skill,pre_college_sport_3,pre_college_sport_3_level,pre_college_sport_3_skill,im_badminton_experience,im_badminton_skill,im_basketball_experience,im_basketball_skill,im_billiards_experience,im_billiards_skill,im_broomball_experience,im_broomball_skill,im_climbing_experience,im_climbing_skill,im_dodgeball_experience,im_dodgeball_skill,im_flag_football_experience,im_flag_football_skill,im_foosball_experience,im_foosball_skill,im_inner_tube_water_polo_experience,im_inner_tube_water_polo_skill,im_pickleball_experience,im_pickleball_skill,im_ping_pong_experience,im_ping_pong_skill,im_river_run_experience,im_river_run_skill,im_soccer_experience,im_soccer_skill,im_softball_experience,im_softball_skill,im_spikeball_experience,im_spikeball_skill,im_squash_experience,im_squash_skill,im_tennis_experience,im_tennis_skill,im_ultimate_frisbee_experience,im_ultimate_frisbee_skill,im_volleyball_experience,im_volleyball_skill,is_varsity,varsity_sport
198,Ice Hockey,Casual,7,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,6,2+ seasons,7,1 season,7,1 season,6,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,6,1 season,5,Never played,,Never played,,no,
199,Football (American),HS Varsity,10,Crew,Casual,2,Tennis,Casual,1,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,6,Never played,,Never played,,yes,Football
200,Field Hockey,Casual,4,,,,,,,1 season,7,Never played,,1 season,6,1 season,6,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
201,Squash,HS Varsity,9,Crew,Casual,2,,,,1 season,5,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,4,1 season,3,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,yes,Squash
202,,,,,,,,,,1 season,6,1 season,6,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,2,Never played,,Never played,,Never played,,1 season,9,Never played,,Never played,,Never played,,no,
203,Swimming,Casual,3,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,1,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,no,
204,Field Hockey,HS Varsity,9,,,,,,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,Never played,,1 season,6,Never played,,Never played,,1 season,3,Never played,,2+ seasons,7,Never played,,Never played,,yes,Field Hockey
205,Soccer,Casual,2,Basketball,HS Varsity,9,,,,2+ seasons,10,Never played,,Never played,,2+ seasons,9,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
206,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,no,
207,,,,,,,,,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
208,Tennis,Casual,6,Track & Field,HS Varsity,8,,,,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,no,
209,Swimming,HS Varsity,9,Basketball,HS Varsity,4,Tennis,Casual,2,Never played,,1 season,7,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,2+ seasons,4,Never played,,Never played,,Never played,,Never played,,no,
210,,,,,,,,,,Never played,,Never played,,1 season,4,1 season,5,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,4,2+ seasons,7,Never played,,Never played,,no,
211,Cross Country,HS Varsity,6,Swimming,Casual,5,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,no,
212,,,,,,,,,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,7,Never played,,1 season,5,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,no,
213,Swimming,HS Varsity,10,Basketball,HS Varsity,7,Track & Field,Casual,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,2+ seasons,8,1 season,7,Never played,,1 season,5,no,
214,Field Hockey,HS Varsity,9,Wrestling,HS Varsity,6,,,,1 season,5,Never played,,2+ seasons,9,Never played,,1 season,7,1 season,7,Never played,,1 season,2,Never played,,Never played,,1 season,8,Never played,,Never played,,1 season,7,1 season,4,1 season,5,1 season,5,1 season,7,Never played,,yes,Field Hockey
215,Squash,HS Varsity,7,Crew,HS Varsity,7,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,1 season,5,Never played,,1 season,2,Never played,,no,
216,Track & Field,HS Varsity,9,Basketball,Casual,2,,,,Never played,,1 season,8,Never played,,1 season,4,1 season,4,1 season,4,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,1 season,3,Never played,,no,
217,Softball,HS Varsity,9,,,,,,,Never played,,Never played,,Never played,,1 season,1,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
218,Lacrosse,HS Varsity,8,Soccer,Casual,3,,,,Never played,,Never played,,1 season,9,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,Never played,,Never played,,1 season,5,1 season,6,Never played,,Never played,,no,
219,Track & Field,HS Varsity,9,,,,,,,1 season,7,1 season,3,Never played,,1 season,3,Never played,,Never played,,1 season,4,Never played,,2+ seasons,7,1 season,4,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,1 season,7,yes,Track & Field
220,Swimming,HS Varsity,8,,,,,,,1 season,6,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,4,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,4,no,
221,Soccer,HS Varsity,7,,,,,,,2+ seasons,6,Never played,,Never played,,2+ seasons,5,Never played,,Never played,,Never played,,2+ seasons,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,2+ seasons,8,1 season,8,no,
222,Baseball,HS Varsity,10,,,,,,,1 season,5,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,4,1 season,5,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Baseball
223,Basketball,Casual,2,Baseball,Casual,4,,,,1 season,7,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
224,Basketball,Casual,2,,,,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,1 season,6,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,no,
225,Rugby,Casual,4,Baseball,HS Varsity,7,,,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,1 season,6,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,4,no,
226,Swimming,HS Varsity,9,,,,,,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,no,
227,Squash,HS Varsity,6,,,,,,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,1 season,7,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,1 season,3,1 season,6,yes,Squash
228,Baseball,Casual,2,Basketball,HS JV,6,,,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,6,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,no,
229,Baseball,HS Varsity,9,Tennis,HS Varsity,7,,,,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,1 season,4,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,no,
230,Crew,Casual,3,,,,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,4,1 season,6,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,4,1 season,6,2+ seasons,8,Never played,,Never played,,no,
231,Cross Country,HS Varsity,10,Lacrosse,HS Varsity,9,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,4,1 season,3,1 season,4,Never played,,Never played,,no,
232,Lacrosse,Casual,5,Pickleball,Casual,6,,,,Never played,,1 season,6,Never played,,Never played,,1 season,4,1 season,5,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,1 season,7,no,
233,Swimming,HS JV,5,Track & Field,Casual,5,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,6,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
234,Tennis,Casual,6,,,,,,,2+ seasons,6,1 season,6,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,10,no,
235,Football (American),Casual,4,,,,,,,1 season,5,1 season,6,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,no,
236,Tennis,Casual,6,,,,,,,2+ seasons,9,Never played,,1 season,4,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,1 season,5,1 season,6,no,
237,Squash,Casual,5,Tennis,Casual,2,,,,1 season,7,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
238,Track & Field,Casual,4,,,,,,,Never played,,1 season,5,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,2+ seasons,6,Never played,,1 season,4,Never played,,Never played,,Never played,,no,
239,Water Polo,Casual,7,,,,,,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,9,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
240,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,1 season,4,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
241,Baseball,Casual,6,Football (American),Casual,3,Crew,HS JV,5,1 season,5,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,no,
242,Tennis,Casual,6,,,,,,,Never played,,Never played,,1 season,4,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,no,
243,Baseball,Casual,4,Tennis,HS Varsity,10,Lacrosse,HS Varsity,10,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,no,
244,Track & Field,HS JV,6,,,,,,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
245,,,,,,,,,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,1 season,4,1 season,4,no,
246,Track & Field,HS Varsity,8,Soccer,HS Varsity,9,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,2+ seasons,7,1 season,4,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Track & Field
247,Softball,Casual,5,Basketball,Casual,6,Tennis,HS Varsity,7,Never played,,2+ seasons,6,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,no,
248,Golf,HS Varsity,8,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,4,1 season,7,Never played,,1 season,6,Never played,,1 season,5,yes,Golf
249,Wrestling,HS Varsity,9,Ping Pong,HS Varsity,8,,,,Never played,,1 season,5,1 season,6,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,6,1 season,8,1 season,2,Never played,,Never played,,Never played,,Never played,,no,
250,Swimming,HS Varsity,7,Tennis,Casual,3,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Swimming & Diving
251,Tennis,HS JV,3,Swimming,Casual,2,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,no,
252,Ping Pong,HS Varsity,8,Ice Hockey,Casual,2,,,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,1 season,3,Never played,,Never played,,no,
253,Basketball,Casual,3,Cross Country,Casual,3,,,,1 season,8,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,5,1 season,7,Never played,,Never played,,Never played,,Never played,,1 season,8,2+ seasons,7,Never played,,Never played,,Never played,,no,
254,Ice Hockey,Casual,5,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,no,
255,Skiing,HS Varsity,9,Tennis,HS Varsity,9,Swimming,HS JV,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Skiing
256,Track & Field,HS Varsity,8,,,,,,,1 season,4,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,2+ seasons,2,Never played,,Never played,,1 season,4,Never played,,Never played,,no,
257,Tennis,Casual,3,Track & Field,HS Varsity,6,,,,1 season,5,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,no,
258,Soccer,HS Varsity,7,,,,,,,Never played,,Never played,,1 season,6,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,2+ seasons,4,Never played,,Never played,,Never played,,Never played,,no,
259,Crew,Casual,5,Soccer,Casual,5,,,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
260,,,,,,,,,,Never played,,2+ seasons,8,2+ seasons,6,Never played,,2+ seasons,6,2+ seasons,5,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,10,no,
261,Ice Hockey,Casual,4,Cross Country,Casual,1,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,2+ seasons,6,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,5,no,
262,Cross Country,Casual,3,Track & Field,Casual,7,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
263,,,,,,,,,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,3,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
264,Swimming,HS Varsity,7,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,9,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,yes,Swimming & Diving
265,Baseball,HS Varsity,6,Wrestling,HS Varsity,8,,,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,1 season,5,Never played,,1 season,4,1 season,6,Never played,,Never played,,Never played,,1 season,5,no,
266,Tennis,Casual,5,Swimming,HS Varsity,8,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,4,2+ seasons,8,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,no,
267,Soccer,Casual,4,,,,,,,1 season,4,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,no,
268,Wrestling,Casual,5,Track & Field,Casual,2,,,,2+ seasons,9,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,5,1 season,8,Never played,,Never played,,Never played,,Never played,,no,
269,Flag Football,HS Varsity,8,,,,,,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,9,1 season,3,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,no,
270,Baseball,HS Varsity,7,,,,,,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,5,1 season,5,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,yes,Baseball
271,,,,,,,,,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,1 season,5,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,no,
272,Swimming,Casual,6,Softball,HS Varsity,9,Track & Field,Casual,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,1 season,4,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,2+ seasons,10,Never played,,Never played,,no,
273,Lacrosse,Casual,8,,,,,,,2+ seasons,6,Never played,,Never played,,1 season,8,Never played,,Never played,,1 season,6,Never played,,2+ seasons,9,Never played,,1 season,7,Never played,,Never played,,2+ seasons,7,1 season,4,Never played,,Never played,,Never played,,1 season,6,no,
274,,,,,,,,,,1 season,3,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,Never played,,1 season,8,no,
275,,,,,,,,,,2+ seasons,7,2+ seasons,7,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,1 season,4,1 season,3,Never played,,Never played,,Never played,,Never played,,no,
276,Track & Field,HS Varsity,7,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,1 season,4,Never played,,Never played,,Never played,,1 season,3,yes,Track & Field
277,Football (American),Casual,4,Lacrosse,HS Varsity,9,,,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,9,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,3,Never played,,no,
278,Baseball,Casual,4,Badminton,Casual,3,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,no,
279,,,,,,,,,,Never played,,2+ seasons,7,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
280,Soccer,Casual,4,,,,,,,2+ seasons,6,1 season,6,Never played,,Never played,,Never played,,1 season,3,Never played,,1 season,5,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,2+ seasons,10,Never played,,Never played,,1 season,4,Never played,,no,
281,Basketball,Casual,4,,,,,,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,2+ seasons,6,1 season,4,Never played,,1 season,5,1 season,6,1 season,4,1 season,4,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
282,Cross Country,HS Varsity,5,Water Polo,Casual,4,,,,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,2+ seasons,4,yes,Cross Country
283,Swimming,Casual,7,Tennis,HS Varsity,9,Track & Field,Casual,3,1 season,6,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
284,Squash,HS Varsity,8,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,6,Never played,,Never played,,yes,Squash
285,Squash,Casual,4,,,,,,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,4,1 season,2,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,no,
286,Basketball,HS Varsity,6,Football (American),Casual,7,,,,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,6,1 season,6,1 season,5,Never played,,Never played,,1 season,5,Never played,,2+ seasons,5,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,no,
287,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
288,Ice Hockey,Casual,3,,,,,,,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,5,no,
289,Soccer,Casual,3,Tennis,HS Varsity,9,Football (American),Casual,4,Never played,,Never played,,Never played,,1 season,7,2+ seasons,4,1 season,3,1 season,6,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,no,
290,Gymnastics,Casual,4,Football (American),Casual,3,Track & Field,Casual,5,Never played,,1 season,6,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,1 season,5,Never played,,Never played,,1 season,8,Never played,,no,
291,Crew,HS Varsity,8,Baseball,Casual,4,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,2+ seasons,6,Never played,,2+ seasons,3,1 season,4,1 season,7,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,5,Never played,,1 season,6,yes,Men's Rowing
292,Basketball,HS Varsity,6,,,,,,,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,no,
293,Tennis,Casual,4,Crew,HS Varsity,8,,,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,2+ seasons,9,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
294,Wrestling,HS Varsity,10,,,,,,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,1 season,6,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,1 season,8,yes,Wrestling
295,Swimming,HS JV,3,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,6,Never played,,1 season,6,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,2+ seasons,7,no,
296,,,,,,,,,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
297,Soccer,HS Varsity,10,,,,,,,2+ seasons,7,1 season,7,1 season,6,1 season,6,Never played,,1 season,4,2+ seasons,8,1 season,5,Never played,,Never played,,2+ seasons,7,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
298,Track & Field,HS Varsity,8,Crew,Casual,5,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,1 season,6,Never played,,1 season,3,1 season,4,Never played,,Never played,,Never played,,yes,Track & Field
299,Field Hockey,HS Varsity,9,Basketball,HS JV,5,,,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,4,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Field Hockey
